genome	auxo_lab_sum	auxo_model_sum
lane121s003951_bin.1.p	2	1
lane121s003952_megahit	3	0
lane121s003953_shovill	6	0
lane121s003954_shovill	1	0
lane121s003955_bin.1.s	4	1
lane121s003958_shovill	3	0
lane121s003960_shovill	0	0
lane121s003962_megahit	0	0
lane121s003963_shovill	1	0
lane121s003964_megahit	3	0
lane121s003965_shovill	4	0
lane121s003968_megahit	4	0
lane121s003971_bin.1.s	5	0
lane121s003972_bin.2.s	0	0
lane121s003972_shovill	0	0
lane121s003976_shovill	0	0
lane121s003978_shovill	2	0
lane121s003979_bin.1.s	1	0
lane121s003980_megahit	0	0
lane121s003984_bin.1.p	0	0
lane121s003986_megahit	0	0
lane121s003995_shovill	8	1
lane121s003996_shovill	7	0
lane122s000515_shovill	0	0
lane122s000516_shovill	1	0
lane122s000517_bin.1.p	2	0
lane122s000517_bin.2.s	2	1
lane122s000518_bin.1.p	3	1
lane122s000521_bin.1.s	11	0
lane122s000521_bin.2.p	11	1
lane122s000522_shovill	6	0
lane122s000523_bin.1.p	0	0
lane122s000524_shovill	0	0
lane122s000525_bin.1.p	12	4
lane122s000527_megahit	3	0
lane122s000528_shovill	3	0
lane122s000529_megahit	1	0
lane122s000530_shovill	6	2
lane122s000531_bin.1.o	0	0
lane122s000532_bin.1.p	0	0
lane122s000533_bin.10.p	0	0
lane122s000535_bin.1.p	5	1
lane122s000536_megahit	0	0
lane122s000537_shovill	12	0
lane122s000538_bin.1.p	5	0
lane122s000539_shovill	0	0
lane122s000540_bin.1.p	2	0
lane122s000540_bin.2.p	2	0
lane122s000541_shovill	4	0
lane122s000542_bin.1.s	0	0
lane122s000543_bin.1.p	2	0
lane122s000544_bin.1.s	4	0
lane122s000545_shovill	0	0
lane821s003035_bin.1.p	5	0
lane821s003036_shovill	3	1
lane821s003037_bin.1.p	20	0
lane821s003038_bin.1.o	11	0
lane821s003040_bin.1.o	1	0
lane821s003041_shovill	1	0
lane821s003042_shovill	20	0
lane821s003043_bin.1.s	7	3
lane821s003044_shovill	8	0
